Date,srad,tmmx,tmmn,Vpar,tdew,rmax,rmin,vs,Rain,ETref,MorP
2025-03-11,17.86968108,15.705555555555557,-4.583333333333334,,-3.4722222222222223,93.1,22.21,1.6361664,0.0,2.54,P
2025-03-12,12.3678072,13.627777777777778,-2.6999999999999997,,-2.8333333333333344,84.5,33.4,4.108297599999999,0.0,2.794,P
2025-03-13,3.9251250000000004,9.888888888888888,-0.43333333333333396,,-1.211111111111111,95.6,48.69,4.8459136,0.0,1.778,P
2025-03-14,10.88107452,5.166666666666665,-1.2666666666666673,,-4.527777777777777,91.1,48.7,5.7399936,0.0,1.778,P
2025-03-15,9.05688576,5.98888888888889,-2.3111111111111113,,-3.2166666666666663,94.6,55.58,4.783328,0.0,1.5239999999999998,P
2025-03-16,11.26793484,15.805555555555557,-0.8166666666666661,,-3.1944444444444446,74.11,21.25,5.4628288000000005,0.0,3.556,P
2025-03-17,9.05311764,13.527777777777779,0.5777777777777773,,-1.950000000000001,90.3,20.22,5.386832,0.0,3.0479999999999996,P
2025-03-18,15.708454920000001,4.794444444444446,-2.361111111111111,,-5.633333333333334,86.0,37.79,11.314582399999999,0.0,2.2859999999999996,P
2025-03-19,19.47615624,7.638888888888889,-6.988888888888888,,-8.3,80.7,34.31,4.9979072,0.0,2.54,P
2025-03-20,14.383751400000001,7.9333333333333345,-1.7388888888888885,,-5.494444444444445,83.4,32.2,5.8651648,0.0,2.54,P
2025-03-21,13.96883952,10.799999999999999,-4.605555555555555,,-3.611111111111111,87.9,33.62,1.922272,0.0,2.032,P
2025-03-22,14.413059,9.883333333333333,4.272222222222221,,-1.0111111111111113,77.67,46.81,7.8366112,0.0,3.0479999999999996,P
2025-03-23,10.07888364,14.616666666666669,2.4499999999999984,,0.1999999999999997,73.18,44.13,2.9191712,0.0,2.54,P
2025-03-24,18.71834544,18.93888888888889,7.088888888888888,,2.7166666666666672,64.5,33.35,5.945632,0.0,4.571999999999999,P
2025-03-25,20.61245376,21.077777777777776,-2.5666666666666673,,0.777777777777777,93.5,23.93,1.3947648,0.0,3.0479999999999996,P
2025-03-26,17.93792592,24.211111111111112,-3.594444444444444,,1.1944444444444438,93.1,24.93,1.4841727999999998,0.0,3.302,P
2025-03-27,10.502169120000001,19.511111111111113,4.877777777777778,,1.3444444444444454,73.84,26.63,3.0130496,0.0,3.302,P
2025-03-28,14.86648944,13.983333333333334,2.794444444444445,,-2.705555555555556,66.62,27.26,4.291583999999999,0.0,3.302,P
2025-03-29,9.70877052,9.183333333333334,-2.3722222222222222,,-0.3388888888888886,90.0,56.7,4.7252128,0.0,1.778,P
2025-03-30,14.728743720000002,10.96111111111111,-6.766666666666667,,-2.438888888888889,90.9,42.77,2.2307296,0.0,2.032,P
2025-03-31,5.83974864,7.738888888888889,-1.900000000000001,,0.15000000000000174,91.7,59.64,3.3930336,0.0,1.016,P
2025-04-01,12.44065752,7.13888888888889,-3.5388888888888896,,-4.7444444444444445,79.73,41.51,6.280912,0.0,2.2859999999999996,P
2025-04-02,20.197541880000003,8.572222222222223,-6.544444444444445,,-5.294444444444445,87.7,28.87,2.6509471999999996,0.0,2.2859999999999996,P
2025-04-03,18.87744384,9.45,-5.344444444444445,,-3.4777777777777787,93.0,42.9,2.7358848,0.0,2.2859999999999996,P
2025-04-04,16.9649136,10.622222222222222,-4.144444444444445,,-4.95,77.65,31.67,2.838704,0.0,2.54,P
2025-04-05,22.80801168,13.805555555555557,-5.516666666666667,,-6.883333333333334,73.86,24.31,1.721104,0.0,3.0479999999999996,P
2025-04-06,22.74395364,17.833333333333332,-6.71111111111111,,-5.333333333333334,86.7,21.58,1.765808,0.0,3.302,P
2025-04-07,16.9649136,20.66111111111111,-1.0166666666666657,,-1.961111111111112,73.79,21.31,3.5629087999999998,0.0,4.3180000000000005,P
2025-04-08,14.3984052,14.894444444444446,1.5499999999999996,,1.744444444444445,75.33,42.59,3.6165536,0.0,2.794,P
2025-04-09,21.733678800000003,18.93888888888889,-4.4944444444444445,,-1.8388888888888884,91.2,26.62,2.3201376000000002,0.0,3.556,P
2025-04-10,22.251167280000004,25.772222222222222,-5.672222222222223,,-2.55,90.1,16.11,1.989328,0.0,4.571999999999999,P
2025-04-11,17.486588880000003,22.22222222222222,0.6444444444444426,,0.29444444444444506,77.86,25.79,2.928112,0.0,4.3180000000000005,P
2025-04-12,13.797180720000002,15.805555555555557,4.3277777777777775,,1.1555555555555546,79.09,27.95,7.0677024,0.0,3.8099999999999996,P
2025-04-13,23.72492088,11.594444444444443,1.861111111111112,,-6.877777777777777,57.18,28.78,5.3510688,0.0,4.064,P
2025-04-14,24.2269182,19.27777777777778,-8.222222222222223,,-5.738888888888888,85.3,16.75,1.3500608,0.0,3.556,P
2025-04-15,23.27400252,23.28888888888889,-7.033333333333334,,-5.005555555555556,81.1,15.72,1.3321792,0.0,4.064,P
2025-04-16,20.624595480000004,21.53333333333334,-1.8333333333333337,,-1.555555555555556,81.3,25.0,2.6241248,0.0,4.3180000000000005,P
2025-04-17,12.099433320000001,13.122222222222222,-1.5444444444444452,,-4.716666666666666,93.0,35.23,6.9022976,0.0,3.556,P
2025-04-18,15.15328524,10.355555555555556,-4.122222222222224,,-6.561111111111111,78.05,24.19,3.643376,0.0,2.794,P
2025-04-19,22.303502280000004,17.21111111111111,-10.15,,-7.377777777777779,85.6,20.57,2.771648,0.0,3.8099999999999996,P
2025-04-20,23.16933252,17.261111111111113,5.8500000000000005,,-1.7944444444444447,50.72,27.34,3.7283136,0.0,4.571999999999999,P
2025-04-21,23.69854404,15.155555555555557,6.1388888888888875,,-2.2666666666666657,61.45,31.8,6.3524384000000005,0.0,5.08,P
2025-04-22,23.378253840000003,17.683333333333334,-5.122222222222222,,-3.6000000000000005,89.1,26.13,1.4931135999999998,0.0,3.556,P
2025-04-23,18.02124324,16.566666666666666,-3.3333333333333335,,-2.45,84.7,28.06,2.078736,0.0,3.302,P
2025-04-24,23.97110472,18.338888888888892,-1.6999999999999993,,-0.7055555555555554,83.2,30.41,2.414016,0.0,4.064,P
2025-04-25,21.01480524,22.755555555555553,2.9888888888888903,,1.9166666666666683,89.3,21.04,3.4287967999999998,0.0,4.826,P
2025-04-26,22.7615382,21.927777777777777,1.2833333333333345,,0.15000000000000174,91.7,15.59,2.8118816,0.0,4.571999999999999,P
2025-04-27,14.403010680000001,15.205555555555554,1.5777777777777797,,-1.4777777777777779,80.7,26.32,3.1471616,0.0,3.302,P
2025-04-28,14.338952640000002,14.844444444444445,-0.4944444444444448,,0.9444444444444461,84.1,46.73,1.9625055999999999,0.0,2.54,P
2025-04-29,21.776384160000003,19.87777777777778,-3.644444444444444,,1.311111111111111,94.5,30.17,3.5271456,0.0,4.064,P
2025-04-30,25.135453800000004,16.544444444444444,7.361111111111112,,1.1111111111111112,80.2,25.06,6.0260992,0.0,5.08,P
2025-05-01,26.45178372,19.73333333333333,-5.283333333333334,,-3.0111111111111124,85.5,22.32,1.586992,0.0,4.064,P
2025-05-02,27.13758156,24.66666666666667,-4.21111111111111,,-2.0500000000000007,87.9,13.99,1.6048736,0.0,4.826,P
2025-05-03,25.28952804,28.88888888888889,1.8499999999999992,,0.07222222222222364,71.98,12.94,4.3496992,0.0,7.365999999999999,P
2025-05-04,21.23042544,13.85,5.999999999999999,,4.883333333333333,83.9,57.07,6.9201792,0.0,3.302,P
2025-05-05,14.566714560000001,11.694444444444443,5.32777777777778,,0.011111111111112848,77.07,44.0,7.9304896,0.0,3.556,P
2025-05-06,21.69432288,18.577777777777776,3.377777777777777,,2.805555555555554,90.3,37.88,2.2262592000000003,0.0,3.8099999999999996,P
2025-05-07,26.2575162,23.150000000000002,-2.994444444444445,,3.2166666666666663,95.0,30.75,1.0013696,0.0,4.064,P
2025-05-08,26.44634088,24.555555555555557,2.3000000000000003,,4.316666666666668,89.4,28.52,2.6464768,0.0,5.08,P
2025-05-09,21.961859399999998,28.444444444444446,1.2166666666666655,,3.877777777777776,91.1,20.5,1.1488927999999998,0.0,4.3180000000000005,P
2025-05-10,23.80363272,32.333333333333336,5.3999999999999995,,2.7777777777777777,78.26,14.68,3.8132512,0.0,7.619999999999999,P
2025-05-11,12.86101224,25.844444444444445,12.21111111111111,,6.105555555555557,68.64,25.07,2.8252928,0.0,4.571999999999999,P
2025-05-12,21.623984640000003,22.37777777777778,5.333333333333334,,0.6333333333333336,78.49,18.88,5.1275488000000005,0.0,5.842,P
2025-05-13,16.33145076,15.055555555555557,5.233333333333334,,1.3555555555555543,84.7,34.78,4.738624,0.0,3.8099999999999996,P
2025-05-14,13.108870800000002,14.844444444444445,3.9499999999999997,,2.5444444444444434,87.7,44.13,6.6206624000000005,0.0,3.302,P
2025-05-15,28.516294800000004,16.177777777777777,6.877777777777779,,-0.4222222222222231,60.45,28.39,6.4463168,0.0,5.588,P
2025-05-16,17.848747080000003,16.861111111111114,4.4222222222222225,,1.555555555555554,85.8,34.5,3.6031424000000003,0.0,3.8099999999999996,P
2025-05-17,9.16155576,14.8,0.7999999999999988,,4.483333333333333,95.2,55.89,2.1726144,0.0,1.778,P
2025-05-18,25.487145,12.461111111111112,5.605555555555558,,0.9333333333333332,90.7,36.78,11.3279936,0.0,4.3180000000000005,P
2025-05-19,26.1633132,15.355555555555556,1.7499999999999993,,-3.3000000000000007,69.91,23.16,6.459727999999999,0.0,5.08,P
2025-05-20,24.98556636,17.705555555555556,2.0333333333333314,,2.5,88.2,37.15,4.7028608,0.0,4.3180000000000005,P
2025-05-21,28.036068840000002,19.53888888888889,4.261111111111112,,-0.6222222222222228,79.24,27.95,3.68808,0.0,5.334,P
2025-05-22,25.21416564,24.28333333333333,0.9722222222222223,,2.4666666666666655,86.2,21.78,3.5182048,0.0,5.588,P
2025-05-23,27.1367442,23.41111111111111,-0.08333333333333255,,2.677777777777778,92.2,26.66,2.34696,0.0,5.08,P
2025-05-24,28.327470120000005,23.83333333333334,7.916666666666667,,3.177777777777777,66.65,23.49,2.5525984,0.0,5.588,P
2025-05-25,28.071656640000004,27.277777777777775,0.4611111111111102,,2.2611111111111115,91.5,16.84,1.1086592,0.0,5.08,P
2025-05-26,17.8755426,29.388888888888893,6.061111111111109,,4.377777777777779,76.23,19.38,3.1605728,0.0,5.842,P
2025-05-27,26.89097904,26.52777777777778,6.8277777777777775,,6.116666666666666,81.1,31.21,2.794,0.0,5.842,P
2025-05-28,23.20198956,29.277777777777782,4.4722222222222205,,5.505555555555554,88.9,25.49,1.9088607999999998,0.0,5.334,P
2025-05-29,23.021957160000003,31.777777777777782,4.6000000000000005,,5.416666666666667,90.8,19.19,2.0832064,0.0,5.842,P
2025-05-30,29.583928800000002,26.888888888888893,9.522222222222222,,3.5888888888888895,52.26,13.65,5.5254144,0.0,7.619999999999999,P
2025-05-31,28.385247960000004,34.111111111111114,4.144444444444445,,4.772222222222224,87.9,13.64,1.1399519999999999,0.0,5.842,P
2025-06-01,26.013844440000003,27.77777777777778,10.227777777777776,,5.494444444444445,64.91,27.98,5.4360064,0.0,7.365999999999999,P
2025-06-02,28.658646,21.727777777777778,13.32777777777778,,-2.705555555555556,39.21,17.21,9.0838528,0.0,8.889999999999999,P
2025-06-03,26.88511752,20.555555555555557,10.583333333333332,,-1.5666666666666669,43.35,23.1,4.8682656,0.0,6.604,P
2025-06-04,25.437740760000004,22.03333333333333,2.2111111111111095,,0.33333333333333415,77.89,24.5,2.8163519999999997,0.0,5.08,P
2025-06-05,25.874424,24.850000000000005,1.7944444444444427,,0.7666666666666682,85.2,19.66,1.9133312,0.0,5.08,P
